"SpecOrder";"MEProb";"PLevel";"Repl"
"1";"40";0.494049404940494;0.01;1
"2";"40";0.689368936893689;0.02;1
"3";"40";0.770577057705771;0.03;1
"4";"40";0.866586658665867;0.04;1
"5";"40";0.907990799079908;0.05;1
"6";"40";0.933293329332933;0.06;1
"7";"40";0.953495349534954;0.07;1
"8";"40";0.978297829782978;0.08;1
"9";"40";0.998299829982998;0.09;1
"10";"40";0.999799979998;0.1;1
"11";"40";1;0.11;1
"12";"40";1;0.12;1
"13";"40";1;0.13;1
"14";"40";1;0.14;1
"15";"40";1;0.15;1
"16";"40";1;0.16;1
"17";"40";1;0.17;1
"18";"40";1;0.18;1
"19";"40";1;0.19;1
"20";"40";1;0.2;1
"21";"40";0.527552755275528;0.01;2
"22";"40";0.724572457245725;0.02;2
"23";"40";0.807380738073807;0.03;2
"24";"40";0.914591459145915;0.04;2
"25";"40";0.927792779277928;0.05;2
"26";"40";0.974297429742974;0.06;2
"27";"40";0.976697669766977;0.07;2
"28";"40";0.976697669766977;0.08;2
"29";"40";0.998699869986999;0.09;2
"30";"40";0.998899889988999;0.1;2
"31";"40";1;0.11;2
"32";"40";1;0.12;2
"33";"40";1;0.13;2
"34";"40";1;0.14;2
"35";"40";1;0.15;2
"36";"40";1;0.16;2
"37";"40";1;0.17;2
"38";"40";1;0.18;2
"39";"40";1;0.19;2
"40";"40";1;0.2;2
"41";"40";0.358335833583358;0.01;0
"42";"40";0.667266726672667;0.02;0
"43";"40";0.742674267426743;0.03;0
"44";"40";0.845784578457846;0.04;0
"45";"40";0.874987498749875;0.05;0
"46";"40";0.932493249324932;0.06;0
"47";"40";0.939293929392939;0.07;0
"48";"40";0.956595659565957;0.08;0
"49";"40";0.983098309830983;0.09;0
"50";"40";0.997899789978998;0.1;0
"51";"40";0.999799979998;0.11;0
"52";"40";0.999899989999;0.12;0
"53";"40";0.999899989999;0.13;0
"54";"40";0.999899989999;0.14;0
"55";"40";1;0.15;0
"56";"40";1;0.16;0
"57";"40";1;0.17;0
"58";"40";1;0.18;0
"59";"40";1;0.19;0
"60";"40";1;0.2;0
"61";"40";0.536553655365537;0.01;3
"62";"40";0.748174817481748;0.02;3
"63";"40";0.821882188218822;0.03;3
"64";"40";0.925992599259926;0.04;3
"65";"40";0.966496649664967;0.05;3
"66";"40";0.996899689968997;0.06;3
"67";"40";1;0.07;3
"68";"40";1;0.08;3
"69";"40";1;0.09;3
"70";"40";1;0.1;3
"71";"40";1;0.11;3
"72";"40";1;0.12;3
"73";"40";1;0.13;3
"74";"40";1;0.14;3
"75";"40";1;0.15;3
"76";"40";1;0.16;3
"77";"40";1;0.17;3
"78";"40";1;0.18;3
"79";"40";1;0.19;3
"80";"40";1;0.2;3
"81";"40";0.580858085808581;0.01;4
"82";"40";0.805080508050805;0.02;4
"83";"40";0.857385738573857;0.03;4
"84";"40";0.95969596959696;0.04;4
"85";"40";0.997999799979998;0.05;4
"86";"40";1;0.06;4
"87";"40";1;0.07;4
"88";"40";1;0.08;4
"89";"40";1;0.09;4
"90";"40";1;0.1;4
"91";"40";1;0.11;4
"92";"40";1;0.12;4
"93";"40";1;0.13;4
"94";"40";1;0.14;4
"95";"40";1;0.15;4
"96";"40";1;0.16;4
"97";"40";1;0.17;4
"98";"40";1;0.18;4
"99";"40";1;0.19;4
"100";"40";1;0.2;4
"101";"40";0.616361636163616;0.01;5
"102";"40";0.826382638263826;0.02;5
"103";"40";0.876687668766877;0.03;5
"104";"40";0.950795079507951;0.04;5
"105";"40";0.996199619961996;0.05;5
"106";"40";0.998799879987999;0.06;5
"107";"40";0.999899989999;0.07;5
"108";"40";0.999899989999;0.08;5
"109";"40";0.999899989999;0.09;5
"110";"40";0.999899989999;0.1;5
"111";"40";0.999899989999;0.11;5
"112";"40";0.999899989999;0.12;5
"113";"40";0.999899989999;0.13;5
"114";"40";0.999899989999;0.14;5
"115";"40";0.999899989999;0.15;5
"116";"40";0.999899989999;0.16;5
"117";"40";0.999899989999;0.17;5
"118";"40";0.999899989999;0.18;5
"119";"40";0.999899989999;0.19;5
"120";"40";0.999899989999;0.2;5
