ID                                  ;Category                            ;Ind-numgroups(senor)                ;Ind-numgroups(adhoc)                ;Group-numgroups(senor)              ;Group-numgroups(adhoc)              ;Result-single                       ;Result-group                        ;EffSize-single                      ;Effsize-group                       ;EffSize-single                      ;Effsize-group                       ;Mean-ai                             ;Mean-ag                             ;Mean-si                             ;Mean-sg                             ;Median-ai                           ;Median-ag                           ;Median-si                           ;Median-sg                           ;Min-ai                              ;Min-ag                              ;Min-si                              ;Min-sg                              ;Max-ai                              ;Max-ag                              ;Max-si                              ;Max-sg                              ;Sum-ai                              ;Sum-ag                              ;Sum-si                              ;Sum-sg                              ;SD-ai                               ;SD-ag                               ;SD-si                               ;SD-sg                               ;var-ai                              ;var-ag                              ;var-si                              ;var-sg                              
C11                                 ;Analizowalnoœæ                      ;10                                  ;13                                  ;5                                   ;7                                   ;4e-04                               ;0.0071                              ;0.784615384615385                   ;0.828571428571429                   ;large                               ;large                               ;0.4389                              ;0.4856                              ;0.755                               ;0.7704                              ;0.4615                              ;0.5455                              ;0.7617                              ;0.7143                              ;0                                   ;0.2                                 ;0.4                                 ;0.68                                ;0.8                                 ;0.7143                              ;1                                   ;0.88                                ;5.7051                              ;3.3991                              ;7.5496                              ;3.8522                              ;0.2134                              ;0.1924                              ;0.1566                              ;0.0938                              ;0.0455                              ;0.037                               ;0.0245                              ;0.0088                              
C12                                 ;£atwoœæ zmiany                      ;10                                  ;13                                  ;4                                   ;7                                   ;9e-04                               ;0.0053                              ;0.769230769230769                   ;0.857142857142857                   ;large                               ;large                               ;0.4274                              ;0.4929                              ;0.7582                              ;0.7807                              ;0.4375                              ;0.5833                              ;0.7694                              ;0.7896                              ;0                                   ;0.2                                 ;0.4074                              ;0.68                                ;0.8125                              ;0.6667                              ;1                                   ;0.8636                              ;5.5567                              ;3.45                                ;7.5821                              ;3.1228                              ;0.204                               ;0.1825                              ;0.1525                              ;0.0912                              ;0.0416                              ;0.0333                              ;0.0233                              ;0.0083                              
C13                                 ;£atwoœæ testowania                  ;8                                   ;13                                  ;4                                   ;7                                   ;0.0026                              ;0.003                               ;0.75                                ;0.857142857142857                   ;large                               ;large                               ;0.438                               ;0.4941                              ;0.7648                              ;0.7862                              ;0.4118                              ;0.6154                              ;0.7828                              ;0.8006                              ;0                                   ;0.1818                              ;0.4074                              ;0.68                                ;0.8125                              ;0.6667                              ;1                                   ;0.8636                              ;5.6934                              ;3.4586                              ;6.1182                              ;3.1448                              ;0.2022                              ;0.1889                              ;0.1742                              ;0.0917                              ;0.0409                              ;0.0357                              ;0.0304                              ;0.0084                              
C14                                 ;Poufnoœæ                            ;8                                   ;13                                  ;4                                   ;7                                   ;0.0033                              ;0.0061                              ;0.730769230769231                   ;0.821428571428571                   ;large                               ;large                               ;0.456                               ;0.4878                              ;0.7595                              ;0.7664                              ;0.5                                 ;0.5714                              ;0.8                                 ;0.7662                              ;0.1667                              ;0.1818                              ;0.3929                              ;0.6667                              ;0.8125                              ;0.6875                              ;0.9167                              ;0.8667                              ;5.9286                              ;3.4146                              ;6.0763                              ;3.0656                              ;0.1737                              ;0.1914                              ;0.1652                              ;0.1015                              ;0.0302                              ;0.0366                              ;0.0273                              ;0.0103                              
C15                                 ;Integralnoœæ                        ;8                                   ;12                                  ;2                                   ;7                                   ;0.0015                              ;0.0278                              ;0.8125                              ;0.857142857142857                   ;large                               ;large                               ;0.4536                              ;0.4973                              ;0.7597                              ;0.75                                ;0.4773                              ;0.5385                              ;0.7947                              ;0.75                                ;0.1429                              ;0.1818                              ;0.4138                              ;0.6786                              ;0.7647                              ;0.6471                              ;0.913                               ;0.8214                              ;5.4431                              ;3.481                               ;6.0777                              ;1.5                                 ;0.182                               ;0.175                               ;0.1524                              ;0.101                               ;0.0331                              ;0.0306                              ;0.0232                              ;0.0102                              
C16                                 ;Niezaprzeczalnoœæ                   ;6                                   ;12                                  ;2                                   ;7                                   ;0.0024                              ;0.028                               ;0.736111111111111                   ;0.857142857142857                   ;large                               ;large                               ;0.4429                              ;0.5                                 ;0.7654                              ;0.7414                              ;0.4497                              ;0.5714                              ;0.8048                              ;0.7414                              ;0.1429                              ;0.1818                              ;0.4138                              ;0.6897                              ;0.7647                              ;0.65                                ;0.9167                              ;0.7931                              ;5.3147                              ;3.5                                 ;4.5924                              ;1.4828                              ;0.1893                              ;0.1795                              ;0.1791                              ;0.0731                              ;0.0358                              ;0.0322                              ;0.0321                              ;0.0054                              
C17                                 ;Identyfikowalnoœæ                   ;6                                   ;12                                  ;2                                   ;7                                   ;0.0024                              ;0.0278                              ;0.736111111111111                   ;0.857142857142857                   ;large                               ;large                               ;0.4522                              ;0.5146                              ;0.7687                              ;0.7532                              ;0.4727                              ;0.5882                              ;0.8139                              ;0.7532                              ;0.1429                              ;0.1818                              ;0.4                                 ;0.7                                 ;0.7647                              ;0.6818                              ;0.9167                              ;0.8065                              ;5.4258                              ;3.6019                              ;4.6125                              ;1.5065                              ;0.1875                              ;0.1835                              ;0.1865                              ;0.0753                              ;0.0352                              ;0.0337                              ;0.0348                              ;0.0057                              
C18                                 ;Autentycznoœæ                       ;5                                   ;12                                  ;2                                   ;7                                   ;9e-04                               ;0.0278                              ;0.916666666666667                   ;0.857142857142857                   ;large                               ;large                               ;0.4663                              ;0.5161                              ;0.8492                              ;0.7754                              ;0.4688                              ;0.5625                              ;0.84                                ;0.7754                              ;0.125                               ;0.1818                              ;0.8125                              ;0.7273                              ;0.7647                              ;0.6667                              ;0.8929                              ;0.8235                              ;5.5954                              ;3.6128                              ;4.2459                              ;1.5508                              ;0.1877                              ;0.1711                              ;0.0367                              ;0.0681                              ;0.0352                              ;0.0293                              ;0.0013                              ;0.0046                              
C19                                 ;Charakterystyka czasowa             ;3                                   ;11                                  ;0                                   ;6                                   ;0.0027                              ;-1                                  ;0.909090909090909                   ;NaN                                 ;large                               ;NA                                  ;0.498                               ;0.5094                              ;0.8349                              ;NaN                                 ;0.5143                              ;0.55                                ;0.8333                              ;NA                                  ;0.2667                              ;0.25                                ;0.7826                              ;Inf                                 ;0.7778                              ;0.6667                              ;0.8889                              ;-Inf                                ;5.4775                              ;3.0567                              ;2.5048                              ;0                                   ;0.1435                              ;0.1608                              ;0.0532                              ;NA                                  ;0.0206                              ;0.0259                              ;0.0028                              ;NA                                  
C20                                 ;Zu¿ycie zasobów                     ;2                                   ;11                                  ;0                                   ;4                                   ;0.019                               ;-1                                  ;0.909090909090909                   ;NaN                                 ;large                               ;NA                                  ;0.5109                              ;0.4413                              ;0.8169                              ;NaN                                 ;0.5                                 ;0.45                                ;0.8169                              ;NA                                  ;0.2667                              ;0.25                                ;0.7917                              ;Inf                                 ;0.7368                              ;0.6154                              ;0.8421                              ;-Inf                                ;5.6195                              ;1.7654                              ;1.6338                              ;0                                   ;0.1285                              ;0.155                               ;0.0357                              ;NA                                  ;0.0165                              ;0.024                               ;0.0013                              ;NA                                  
C21                                 ;Interoperacyjnoœæ                   ;2                                   ;11                                  ;0                                   ;4                                   ;0.0128                              ;-1                                  ;0.909090909090909                   ;NaN                                 ;large                               ;NA                                  ;0.5173                              ;0.4621                              ;0.8244                              ;NaN                                 ;0.5263                              ;0.4555                              ;0.8244                              ;NA                                  ;0.2667                              ;0.3077                              ;0.7917                              ;Inf                                 ;0.7368                              ;0.6296                              ;0.8571                              ;-Inf                                ;5.69                                ;1.8483                              ;1.6488                              ;0                                   ;0.1276                              ;0.1438                              ;0.0463                              ;NA                                  ;0.0163                              ;0.0207                              ;0.0021                              ;NA                                  
C22                                 ;Wspó³istnienie                      ;1                                   ;11                                  ;0                                   ;2                                   ;0.0833                              ;-1                                  ;0.909090909090909                   ;NaN                                 ;large                               ;NA                                  ;0.5113                              ;0.4423                              ;0.7917                              ;NaN                                 ;0.5                                 ;0.4423                              ;0.7917                              ;NA                                  ;0.2667                              ;0.3846                              ;0.7917                              ;Inf                                 ;0.7368                              ;0.5                                 ;0.7917                              ;-Inf                                ;5.6246                              ;0.8846                              ;0.7917                              ;0                                   ;0.1299                              ;0.0816                              ;NA                                  ;NA                                  ;0.0169                              ;0.0067                              ;NA                                  ;NA                                  
C23                                 ;£atwoœæ instalacji                  ;1                                   ;9                                   ;0                                   ;2                                   ;0.1                                 ;-1                                  ;0.888888888888889                   ;NaN                                 ;large                               ;NA                                  ;0.5457                              ;0.4418                              ;0.76                                ;NaN                                 ;0.5455                              ;0.4418                              ;0.76                                ;NA                                  ;0.3125                              ;0.4074                              ;0.76                                ;Inf                                 ;0.75                                ;0.4762                              ;0.76                                ;-Inf                                ;4.9113                              ;0.8836                              ;0.76                                ;0                                   ;0.1322                              ;0.0486                              ;NA                                  ;NA                                  ;0.0175                              ;0.0024                              ;NA                                  ;NA                                  
C24                                 ;£atwoœæ adaptacji                   ;0                                   ;5                                   ;0                                   ;1                                   ;-1                                  ;-1                                  ;NaN                                 ;NaN                                 ;NA                                  ;NA                                  ;0.5579                              ;0.4138                              ;NaN                                 ;NaN                                 ;0.5714                              ;0.4138                              ;NA                                  ;NA                                  ;0.2941                              ;0.4138                              ;Inf                                 ;Inf                                 ;0.7143                              ;0.4138                              ;-Inf                                ;-Inf                                ;2.7895                              ;0.4138                              ;0                                   ;0                                   ;0.1736                              ;NA                                  ;NA                                  ;NA                                  ;0.0302                              ;NA                                  ;NA                                  ;NA                                  
C25                                 ;£atwoœæ zamiany                     ;0                                   ;2                                   ;0                                   ;1                                   ;-1                                  ;-1                                  ;NaN                                 ;NaN                                 ;NA                                  ;NA                                  ;0.4983                              ;0.4333                              ;NaN                                 ;NaN                                 ;0.4983                              ;0.4333                              ;NA                                  ;NA                                  ;0.2778                              ;0.4333                              ;Inf                                 ;Inf                                 ;0.7188                              ;0.4333                              ;-Inf                                ;-Inf                                ;0.9965                              ;0.4333                              ;0                                   ;0                                   ;0.3118                              ;NA                                  ;NA                                  ;NA                                  ;0.0972                              ;NA                                  ;NA                                  ;NA                                  
