SpecID;SpecOrder;Company;Project;All;AllIncluded;Autentyczność;Identyfikowalność;Integralność;Poufność;Niezaprzeczalność;Funkcjonalna poprawność;Interoperacyjność;Współistnienie;Łatwość testowania;Dostępność techniczna;Analizowalność;Łatwość zmiany;Łatwość zamiany;Odporność na wady;Odtwarzalność;Łatwość adaptacji;Łatwość instalacji;Bezp. (wolność od ryzyka);Charakterystyka kontekstu;Dostępność personalna;Estetyka UI;Łatwość operowania;Łatwość nauczenia;Ochrona użytk. przed błędami;Charakterystyka czasowa;Zużycie zasobów;Char. kontekstu - Oprogramowanie;Char. kontekstu - Zasoby;Monitorowanie;Aktualizowanie;Zmiany;Service organization;glossary;Wydajność (efficiency);ArchDecision without rationale;Task;TBD;
27;27;Milka;Portal Project;68;65;0;0;0;1;0;5;0;0;0;4;1;0;0;0;2;6;0;0;20;0;0;0;0;0;25;0;0;0;0;0;0;0;0;1;0;0;0
30;28;Promise;1;28;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
31;29;Promise;2;42;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
32;30;Promise;3;80;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
33;31;Promise;4;56;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32
34;32;Promise;5;74;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37
35;33;Promise;6;78;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47
36;34;Promise;7;23;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
37;35;Promise;8;96;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72
38;36;Promise;9;25;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
39;37;Promise;10;54;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
40;38;Promise;11;14;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
41;39;Promise;12;23;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
42;40;Promise;13;20;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
43;41;Promise;14;16;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
44;42;Promise;15;18;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16

